Institucion,Organismo responsable,Expediente,Fecha,Tipo,Objeto,Procedimiento,Ambito_geografico,Materias_CPV,Codigos_CPV,Observaciones,Enlace HTML
MINISTERIO DE DEFENSA,Dirección de Gestión Económica de la Jefatura de Apoyo Logístico de la Armada,2024/AR40U/00002044E.,02/12/2024,Contratación,Suministro de repuestos para radares de navegación y otros sistemas de ayuda a la navegación instalados en las Plataformas navales de la Armada.,Negociado sin publicidad,Comunidad de Madrid,34000000 Equipos de transporte y productos auxiliares,34933000 (Equipo de navegación) y 34932000 (Equipos de radar).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44197
MINISTERIO DE DEFENSA,Intendente de Ferrol,2024/AR42U/00002519E.,02/12/2024,Contratación,Servicio abierto de apoyo a la instalación de equipos de seguridad.,Negociado sin publicidad,Galicia,"31000000 Máquinas, aparatos, equipo y productos consumibles eléctricos; iluminación 51000000 Servicios de instalación (excepto software)",51514000 (Servicios de instalación de maquinaria diversa de uso general) y 31681410 (Materiales eléctricos).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44198
MINISTERIO DE DEFENSA,Jefatura de la Sección Económico Administrativa 15 Agrupación del Cuartel General del Ejército del Aire,2024/EA15/00001946.,02/12/2024,Contratación,Botellas oxígeno medicinal tipo Composite Medevac t24 y ala rotatoria.,Abierto,Comunidad de Madrid,24000000 Productos químicos,24111900 (Oxígeno).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44199
MINISTERIO DE DEFENSA,Jefatura de la Sección Económico Administrativa 22 - Base Aérea de Torrejón (Agrupación de Base),2024/EA22/00001587E.,02/12/2024,Contratación,APO 234 2024 MOD- Suministro e instalación del sistema de climatización en SATRA (edificio 403) en la BA. de Torrejón.,Abierto,Comunidad de Madrid,42000000 Maquinaria industrial,42512300 (Unidades de climatización).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44200
MINISTERIO DE DEFENSA,Jefatura de la Sección de Asuntos Económicos de la Unidad Militar de Emergencias,2024/SP03038000/00003350E.,02/12/2024,Contratación,Suministro de cuatro (4) módulos de simulación sanitaria.,Abierto,Comunidad de Madrid,"33100000 Equipamiento y artículos médicos, farmacéuticos y de higiene personal",33100000 (Equipamiento médico).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44201
MINISTERIO DE DEFENSA,Sección de Asuntos Económicos del Parque y Centro de Mantenimiento de Sist,2024/ETSAE0109/00000112E.,02/12/2024,Contratación,Adquisición de repuestos para diversos equipos de visión nocturna.,Negociado con publicidad,Comunidad de Madrid,"38000000 Equipo de laboratorio, óptico y de precisión (excepto gafas)",4.1) CPV principal: 38632000 (Gafas para visión nocturna). 4.2) CPV Lote 1: 38632000 (Gafas para visión nocturna). 4.3) CPV Lote 2: 38632000 (Gafas para visión nocturna). 4.4) CPV Lote 3: 38632000 (Gafas para visión nocturna). 4.5) CPV Lote 4: 38632000 (Gafas para visión nocturna). 4.6) CPV Lote 5: 38632000 (Gafas para visión nocturna). 4.7) CPV Lote 6: 38632000 (Gafas para visión nocturna). 4.8) CPV Lote 7: 38632000 (Gafas para visión nocturna). 4.9) CPV Lote 8: 38632000 (Gafas para visión nocturna). 4.10) CPV Lote 9: 38632000 (Gafas para visión nocturna).,Lote 1.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44202
MINISTERIO DE DEFENSA,Sección de Asuntos Económicos del Parque y Centro de Mantenimiento de Sist,2024/ETSAE0109/00000112E.,02/12/2024,Contratación,Adquisición de repuestos para diversos equipos de visión nocturna.,Negociado con publicidad,Comunidad de Madrid,"38000000 Equipo de laboratorio, óptico y de precisión (excepto gafas)",4.1) CPV principal: 38632000 (Gafas para visión nocturna). 4.2) CPV Lote 1: 38632000 (Gafas para visión nocturna). 4.3) CPV Lote 2: 38632000 (Gafas para visión nocturna). 4.4) CPV Lote 3: 38632000 (Gafas para visión nocturna). 4.5) CPV Lote 4: 38632000 (Gafas para visión nocturna). 4.6) CPV Lote 5: 38632000 (Gafas para visión nocturna). 4.7) CPV Lote 6: 38632000 (Gafas para visión nocturna). 4.8) CPV Lote 7: 38632000 (Gafas para visión nocturna). 4.9) CPV Lote 8: 38632000 (Gafas para visión nocturna). 4.10) CPV Lote 9: 38632000 (Gafas para visión nocturna).,Lote 2.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44203
MINISTERIO DE DEFENSA,Sección de Asuntos Económicos del Parque y Centro de Mantenimiento de Sist,2024/ETSAE0109/00000112E.,02/12/2024,Contratación,Adquisición de repuestos para diversos equipos de visión nocturna.,Negociado con publicidad,Comunidad de Madrid,"38000000 Equipo de laboratorio, óptico y de precisión (excepto gafas)",4.1) CPV principal: 38632000 (Gafas para visión nocturna). 4.2) CPV Lote 1: 38632000 (Gafas para visión nocturna). 4.3) CPV Lote 2: 38632000 (Gafas para visión nocturna). 4.4) CPV Lote 3: 38632000 (Gafas para visión nocturna). 4.5) CPV Lote 4: 38632000 (Gafas para visión nocturna). 4.6) CPV Lote 5: 38632000 (Gafas para visión nocturna). 4.7) CPV Lote 6: 38632000 (Gafas para visión nocturna). 4.8) CPV Lote 7: 38632000 (Gafas para visión nocturna). 4.9) CPV Lote 8: 38632000 (Gafas para visión nocturna). 4.10) CPV Lote 9: 38632000 (Gafas para visión nocturna).,Lote 7.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44204
MINISTERIO DE DEFENSA,Sección de Asuntos Económicos del Parque y Centro de Mantenimiento de Sist,2024/ETSAE0109/00000112E.,02/12/2024,Contratación,Adquisición de repuestos para diversos equipos de visión nocturna.,Negociado con publicidad,Comunidad de Madrid,"38000000 Equipo de laboratorio, óptico y de precisión (excepto gafas)",4.1) CPV principal: 38632000 (Gafas para visión nocturna). 4.2) CPV Lote 1: 38632000 (Gafas para visión nocturna). 4.3) CPV Lote 2: 38632000 (Gafas para visión nocturna). 4.4) CPV Lote 3: 38632000 (Gafas para visión nocturna). 4.5) CPV Lote 4: 38632000 (Gafas para visión nocturna). 4.6) CPV Lote 5: 38632000 (Gafas para visión nocturna). 4.7) CPV Lote 6: 38632000 (Gafas para visión nocturna). 4.8) CPV Lote 7: 38632000 (Gafas para visión nocturna). 4.9) CPV Lote 8: 38632000 (Gafas para visión nocturna). 4.10) CPV Lote 9: 38632000 (Gafas para visión nocturna).,Lote 9.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44205
MINISTERIO DE DEFENSA,Sección de Asuntos Económicos del Parque y Centro de Mantenimiento de Sist,2024/ETSAE0109/00000112E.,02/12/2024,Contratación,Adquisición de repuestos para diversos equipos de visión nocturna.,Negociado con publicidad,Comunidad de Madrid,"38000000 Equipo de laboratorio, óptico y de precisión (excepto gafas)",4.1) CPV principal: 38632000 (Gafas para visión nocturna). 4.2) CPV Lote 1: 38632000 (Gafas para visión nocturna). 4.3) CPV Lote 2: 38632000 (Gafas para visión nocturna). 4.4) CPV Lote 3: 38632000 (Gafas para visión nocturna). 4.5) CPV Lote 4: 38632000 (Gafas para visión nocturna). 4.6) CPV Lote 5: 38632000 (Gafas para visión nocturna). 4.7) CPV Lote 6: 38632000 (Gafas para visión nocturna). 4.8) CPV Lote 7: 38632000 (Gafas para visión nocturna). 4.9) CPV Lote 8: 38632000 (Gafas para visión nocturna). 4.10) CPV Lote 9: 38632000 (Gafas para visión nocturna).,Lote 8.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44206
MINISTERIO DE DEFENSA,Intendencia de Madrid,2024/AR21U/00002466E.,02/12/2024,Contratación,Adquisición de material de publicidad y propaganda para reclutamiento.,Abierto,Comunidad de Madrid,22000000 Impresos y productos relacionados,4.1) CPV principal: 22462000 (Material de publicidad). 4.2) CPV Lote 1: 22462000 (Material de publicidad). 4.3) CPV Lote 2: 22462000 (Material de publicidad).,Lote 1.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44207
MINISTERIO DE DEFENSA,Intendencia de Madrid,2024/AR21U/00002466E.,02/12/2024,Contratación,Adquisición de material de publicidad y propaganda para reclutamiento.,Abierto,Comunidad de Madrid,22000000 Impresos y productos relacionados,4.1) CPV principal: 22462000 (Material de publicidad). 4.2) CPV Lote 1: 22462000 (Material de publicidad). 4.3) CPV Lote 2: 22462000 (Material de publicidad).,Lote 2.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44208
MINISTERIO DE DEFENSA,Jefatura de Asuntos Económicos del Mando de Apoyo Logístico,2024/ETSAE0906/00003872E.,02/12/2024,Contratación,Servicio de carpintería.,Abierto,Comunidad de Madrid,50700000 Servicios de reparación y mantenimiento,50000000 (Servicios de reparación y mantenimiento).,Acuerdo marco.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44209
MINISTERIO DE DEFENSA,Jefatura de Intendencia de Asuntos Económicos Oeste,2024/ETSAE0427/00005514E.,02/12/2024,Licitación,Concesión servicio Bares-Cafetería y máquinas expendedoras Base Conde de Gazola desde el 01MAR25 a 28FEB27 (prorrogable tres años).,Restringido,Castilla y León,55000000 Servicios comerciales al por menor de hostelería y restauración,No disponible,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44210
MINISTERIO DE DEFENSA,Dirección General del INTA,582024017600.,02/12/2024,Contratación,Servicio para la gestión integral (protección y transferencia) derechos propiedad industrial e intelectual.,No disponible,Comunidad de Madrid,"79000000 Servicios a empresas: legislación, mercadotecnia, asesoría, selección de personal, imprenta y seguridad",No disponible,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44211
MINISTERIO DE DEFENSA,Jefatura de Asuntos Económicos del Mando de Apoyo Logístico,2024/ETSAE0906/00003722E.,02/12/2024,Contratación,"Suministro y mantenimiento de sistemas de elevación de cargas, material de amarre y grupos de rescate para los helicópteros del ejercito de tierra.",No disponible,Comunidad de Madrid,"39000000 Mobiliario (incluido el de oficina), complementos de mobiliario, aparatos electrodomésticos (excluida la iluminación) y productos de limpieza 50200000 Servicios de reparación y mantenimiento 50600000 Servicios de reparación y mantenimiento","39541200 (Redes de materia textil), 39541210 (Redes de malla anudada), 39541220 (Eslingas), 50210000 (Servicios de reparación y mantenimiento y servicios asociados relacionados con aeronaves y otros equipos) y 50610000 (Servicios de reparación y mantenimiento de equipos de seguridad).",Acuerdo marco.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44212
MINISTERIO DE DEFENSA,Jefatura de Asuntos Económicos del Mando de Apoyo Logístico,2024/ETSAE0906/00004124E.,02/12/2024,Contratación,Adquisición de baterías de arranque.,No disponible,Comunidad de Madrid,"31000000 Máquinas, aparatos, equipo y productos consumibles eléctricos; iluminación",31440000 (Baterías).,Acuerdo marco.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44213
MINISTERIO DE DEFENSA,Dirección de Gestión Económica de la Jefatura de Apoyo Logístico de la Armada,2024/AR40U/00002622E.,02/12/2024,Contratación,COM- Suministro equipos para las radios ROHD&SCHWARZ embarcadas.,Negociado sin publicidad,Comunidad de Madrid,"32000000 Equipos de radio, televisión, comunicaciones y telecomunicaciones y equipos conexos","32000000 (Equipos de radio, televisión, comunicaciones y telecomunicaciones y equipos conexos).",No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44214
MINISTERIO DE HACIENDA,Delegación Especial de la Agencia Tributaria en Madrid,24B20077800.,02/12/2024,Licitación,Servicio de tratamiento higiénico-sanitario para la prevención y control de legionelosis en las instalaciones de agua y el control de la calidad de agua de consumo de los edificios que albergan la Delegación Especial de la AEAT de Madrid y sus administraciones.,Abierto,Nacional,"90000000 Servicios de alcantarillado, basura, limpieza y medio ambiente",90920000 (Servicios de higienización de instalaciones).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44215
MINISTERIO DE HACIENDA,Dirección del Servicio de Gestión Económica de la Agencia Estatal de la Administración Tributaria,24710093600.,02/12/2024,Licitación,Suministro de munición para formación del personal de Vigilancia Aduanera del Departamento de Aduanas e II. EE.,Abierto,Nacional,"35000000 Equipo de seguridad, extinción de incendios, policía y defensa",5.1) CPV principal: 35330000 (Municiones). 5.2) CPV Lote 1: 35330000 (Municiones). 5.3) CPV Lote 2: 35330000 (Municiones). 5.4) CPV Lote 3: 35330000 (Municiones).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44216
MINISTERIO DE HACIENDA,Dirección General de Racionalización y Centralización de la Contratación-Junta de Contratación Centralizada,2024/51.,02/12/2024,Licitación,"Acuerdo Marco 01/2024 para el suministro de mobiliario de despacho y complementario, de archivo, de bibliotecas, mamparas, clínico y geriátrico, y de laboratorio .",No disponible,Nacional,"39000000 Mobiliario (incluido el de oficina), complementos de mobiliario, aparatos electrodomésticos (excluida la iluminación) y productos de limpieza",5.1) CPV principal: 39100000 (Mobiliario) y 33192000 (Mobiliario para uso médico). 5.2) CPV Lote 1: 39100000 (Mobiliario). 5.3) CPV Lote 2: 39100000 (Mobiliario). 5.4) CPV Lote 3: 39100000 (Mobiliario). 5.5) CPV Lote 4: 39100000 (Mobiliario). 5.6) CPV Lote 5: 39100000 (Mobiliario). 5.7) CPV Lote 6: 39100000 (Mobiliario). 5.8) CPV Lote 7: 39100000 (Mobiliario). 5.9) CPV Lote 8: 39100000 (Mobiliario) y 33192000 (Mobiliario para uso médico).,Acuerdo marco.,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44217
MINISTERIO DEL INTERIOR,División Económica y Técnica (Cuerpo Nacional de Policía),Z24AR011/F20.,02/12/2024,Contratación,Adquisición de un mínimo de 850 dispositivos individuales de iluminación ultravioleta.,Abierto,Comunidad de Madrid,"35000000 Equipo de seguridad, extinción de incendios, policía y defensa",35200000 (Equipo para policía).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44218
MINISTERIO DEL INTERIOR,División Económica y Técnica (Cuerpo Nacional de Policía),Z24AR013/X10.,02/12/2024,Contratación,"Adquisición de mínimo de 2.480 artificios triple fumígenos (ATF), para la dotación colectiva de los policías integrantes de las Unidades de Intervención Policial (UIP) y de las Unidades de Prevención y Reacción (UPR) de la Policía Nacional, en un plan anual para el año 2024.",Abierto,Comunidad de Madrid,"35000000 Equipo de seguridad, extinción de incendios, policía y defensa",35200000 (Equipo para policía).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44219
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,Dirección de la Sociedad de Salvamento y Seguridad Marítima,EM24-842.,02/12/2024,Contratación,Servicios de varada para el buque SAR Gavia.,Abierto,Galicia,50200000 Servicios de reparación y mantenimiento,50241000 (Servicios de reparación y mantenimiento de buques).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44220
MINISTERIO DE TRANSPORTES Y MOVILIDAD SOSTENIBLE,ADIF - Presidencia,3.23/27507.0372.,02/12/2024,Contratación,"Ejecución de las obras del proyecto constructivo de renovación y compensación de catenaria de las vías 1, 2, 4 y 6 en la estación de Maçanet - Massanes.",Abierto,Cataluña,45000000 Trabajos de construcción,45234160 (Trabajos de construcción de catenarias).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44221
"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",Presidencia del Consejo Superior de Deportes,2023hMA00145.,02/12/2024,Contratación,"PRTR - Suministro de aparatos de medicina deportiva de alta tecnología para los CAR Madrid, Sierra Nevada y León.",Abierto,"Comunidad de Madrid, Castilla y León, Andalucía","32000000 Equipos de radio, televisión, comunicaciones y telecomunicaciones y equipos conexos 33100000 Equipamiento y artículos médicos, farmacéuticos y de higiene personal 37000000 Instrumentos musicales, artículos deportivos, juegos, juguetes, artículos de artesanía, materiales artísticos y accesorios 38000000 Equipo de laboratorio, óptico y de precisión (excepto gafas)","4.1) CPV principal: 32000000 (Equipos de radio, televisión, comunicaciones y telecomunicaciones y equipos conexos), 33100000 (Equipamiento médico), 37420000 (Equipo de gimnasio), 37440000 (Equipo para el ejercicio físico) y 38400000 (Instrumentos de medida o control de características físicas). 4.2) CPV Lote 1: 32000000 (Equipos de radio, televisión, comunicaciones y telecomunicaciones y equipos conexos), 33100000 (Equipamiento médico), 37420000 (Equipo de gimnasio), 37440000 (Equipo para el ejercicio físico) y 38400000 (Instrumentos de medida o control de características físicas). 4.3) CPV Lote 2: 32000000 (Equipos de radio, televisión, comunicaciones y telecomunicaciones y equipos conexos), 33100000 (Equipamiento médico), 37420000 (Equipo de gimnasio), 37440000 (Equipo para el ejercicio físico) y 38400000 (Instrumentos de medida o control de características físicas). 4.4) CPV Lote 3: 32000000 (Equipos de radio, televisión, comunicaciones y telecomunicaciones y equipos conexos), 33100000 (Equipamiento médico), 37420000 (Equipo de gimnasio), 37440000 (Equipo para el ejercicio físico) y 38400000 (Instrumentos de medida o control de características físicas). 4.5) CPV Lote 4: 32000000 (Equipos de radio, televisión, comunicaciones y telecomunicaciones y equipos conexos), 33100000 (Equipamiento médico), 37420000 (Equipo de gimnasio), 37440000 (Equipo para el ejercicio físico) y 38400000 (Instrumentos de medida o control de características físicas). 4.6) CPV Lote 5: 32000000 (Equipos de radio, televisión, comunicaciones y telecomunicaciones y equipos conexos), 33100000 (Equipamiento médico), 37420000 (Equipo de gimnasio), 37440000 (Equipo para el ejercicio físico) y 38400000 (Instrumentos de medida o control de características físicas).",No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44222
"MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES",Presidencia del Consejo Superior de Deportes,2024hMA00146.,02/12/2024,Contratación,"Suministro de material deportivo de Gimnasia Artística, masculina y femenina, para las salas situadas en el Pabellón Múltiple I del CARD Madrid. GYMNOVA.",Negociado sin publicidad,Nacional,"37000000 Instrumentos musicales, artículos deportivos, juegos, juguetes, artículos de artesanía, materiales artísticos y accesorios",37420000 (Equipo de gimnasio).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44223
MINISTERIO DE TRABAJO Y ECONOMÍA SOCIAL,Dirección General del Servicio Público de Empleo Estatal,IPN 5/24.,02/12/2024,Contratación,"Soporte del producto ""CEGID PEOPLENET Sector Público (Nómina y Recursos Humanos)"" para 10.000 empleados del Servicio Público de Empleo Estatal.",Negociado sin publicidad,Comunidad de Madrid,48000000 Paquetes de software y sistemas de información,48000000 (Paquetes de software y sistemas de información).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44224
"MINISTERIO DE AGRICULTURA, PESCA Y ALIMENTACIÓN","Junta de Contratación del Ministerio de Agricultura, Pesca y Alimentación",20240000217C.,02/12/2024,Contratación,"Servicio para la realización de los trabajos de recogida, depuración, validación y maquetación de las tablas del anuario de estadística 2024 y 2025.",Abierto,Nacional,73000000 Servicios de investigación y desarrollo y servicios de consultoría conexos,73000000 (Servicios de investigación y desarrollo y servicios de consultoría conexos).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44225
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Presidencia de la Confederación Hidrográfica del Ebro,095/24-S.,02/12/2024,Licitación,Estudio de viabilidad para la mejora de garantías de los usos de agua de la cuenca del Matarraña.,Abierto,Aragón,"71000000 Servicios de arquitectura, construcción, ingeniería e inspección","71241000 (Estudio de viabilidad, servicios de asesoramiento, análisis).",No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44226
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Junta de Contratación del Ministerio para la Transición Ecológica y el Reto Demográfico,20240000005L.,02/12/2024,Contratación,"Servicio de limpieza en los edificios, locales y demás dependencias de ocho demarcaciones y servicios provinciales de costas del departamento (8 lotes) - PCPE-18.",Abierto,Nacional,"90000000 Servicios de alcantarillado, basura, limpieza y medio ambiente",4.1) CPV principal: 90919200 (Servicios de limpieza de oficinas). 4.2) CPV Lote 1: 90919200 (Servicios de limpieza de oficinas). 4.3) CPV Lote 2: 90919200 (Servicios de limpieza de oficinas). 4.4) CPV Lote 3: 90919200 (Servicios de limpieza de oficinas). 4.5) CPV Lote 4: 90919200 (Servicios de limpieza de oficinas). 4.6) CPV Lote 5: 90919200 (Servicios de limpieza de oficinas). 4.7) CPV Lote 6: 90919200 (Servicios de limpieza de oficinas). 4.8) CPV Lote 7: 90919200 (Servicios de limpieza de oficinas). 4.9) CPV Lote 8: 90919200 (Servicios de limpieza de oficinas).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44227
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,"Confederación Hidrográfica del Duero, O",452-A.611.11.03/2024.,02/12/2024,Licitación,"Mantenimiento, conservación y explotación del Sistema Integrado de Redes de Control Automáticas (SIRCA) en la parte española de la demarcación hidrográfica del Duero.",Abierto,Castilla y León,50300000 Servicios de reparación y mantenimiento,50312300 (Mantenimiento y reparación de equipos de redes de datos).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44228
MINISTERIO PARA LA TRANSICIÓN ECOLÓGICA Y EL RETO DEMOGRÁFICO,Presidencia de la Confederación Hidrográfica del Júcar,FP.263.001/7511.,02/12/2024,Contratación,"Obras de emergencia para la reparación de daños en el canal Campo del Turia ocasionados por la DANA del 29 de octubre de 2024, en el ámbito de la Confederación Hidrográfica del Júcar, O.A.",Negociado sin publicidad,Comunidad Valenciana,45000000 Trabajos de construcción,4.1) CPV principal: 45247270 (Trabajos de construcción de embalses). 4.2) CPV Lote 1: 45247270 (Trabajos de construcción de embalses). 4.3) CPV Lote 2: 45247270 (Trabajos de construcción de embalses).,No disponible,https://www.boe.es/diario_boe/txt.php?id=BOE-B-2024-44229
